brand,description,docs,image_urls,mpn,price,retail_price,sku,specs,stock,title,upc,url
Baldwin,"<div class=""product attribute description""> <div class=""value"">BISMARK esc.</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/6/9/6986.102.KT.jpg,6986.102.KT,161.37,269.00,6986102KT,,Out of Stock,Baldwin 6986.102.KT BISMARK esc.,723079090528,https://www.afsupply.com/baldwin-6986-102-kt-bismark-esc.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin Hardware 6962.003.ENTR Fenwick Lever Entrance Front Door</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/4/1/41BVIdvXteL.jpg,6962.003.ENTR,337.42,579.00,6962/003,,DISCONTINUED,Baldwin 6962.003.ENTR Hardware Fenwick Lever Entrance Front Door,723079390314,https://www.afsupply.com/baldwin-6962-003-entr-hardware-fenwick-lever-entrance-front-door.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin 1030264I Square Mortise Hinge, Satin Chrome</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/5/1/51WJc0rgK8L.jpg,1030.264.I,21.24,39.00,1030/264I,,In Stock.,"Baldwin 1030.264.I 1030264I Square Mortise Hinge, Satin Chrome",723079019864,https://www.afsupply.com/baldwin-1030-264-i-1030264i-square-mortise-hinge-satin-chrome.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin Hardware Floor Type Bumper Half Dome Door Stop</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/2/1/21vhJJXyZaL.jpg,4010.030,10.20,17.00,4010/030,,Out of Stock,Baldwin 4010.030 Hardware Floor Type Bumper Half Dome Door Stop,723079024837,https://www.afsupply.com/baldwin-4010-030-hardware-floor-type-bumper-half-dome-door-stop.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin 1030150I Square Mortise Hinge, Satin Nickel</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/4/1/41NCfQ6lYML.jpg,1030.150.I,23.40,39.00,1030/150I,,Out of Stock,"Baldwin 1030.150.I 1030150I Square Mortise Hinge, Satin Nickel",723079383200,https://www.afsupply.com/baldwin-1030-150-i-1030150i-square-mortise-hinge-satin-nickel.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin Hardware 6986.102.KN Bismark Escutcheon Indoor Door</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/2/1/21AnFMXf3QL.jpg,6986.102.KN,136.78,228.00,6986102KN,,Out of Stock,Baldwin 6986.102.KN Hardware Bismark Escutcheon Indoor Door,723079090511,https://www.afsupply.com/baldwin-6986-102-kn-hardware-bismark-escutcheon-indoor-door.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin SC.RSD.481.6L.DS.CKY.KD Rustic Square Single Cylinder Deadbolt, Dark Bronze</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/4/1/41KU645JaWL.jpg,9BR3800-018,59.99,100.00,SCRSD481,,Out of Stock,"Baldwin 9BR3800-018 SC.RSD.481.6L.DS.CKY.KD Rustic Square Single Cylinder Deadbolt, Dark Bronze",884011463623,https://www.afsupply.com/baldwin-9br3800-018-sc-rsd-481-6l-ds-cky-kd-rustic-square-single-cylinder-deadbolt-dark-bronze.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">BISMARK esc.</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/B/a/Baldwin.jpg,6986.190.KC,136.78,228.00,6986190KC,,Out of Stock,Baldwin 6986.190.KC BISMARK esc.,829846167636,https://www.afsupply.com/baldwin-6986-190-kc-bismark-esc.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin Hardware 6974.102.ENTR Lakeshore Entry Front Door Handle</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/3/1/31k2vUDD5fL.jpg,6974.102.ENTR,347.34,579.00,6974102ENTR,,Out of Stock,Baldwin 6974.102.ENTR Hardware Lakeshore Entry Front Door Handle,829846260962,https://www.afsupply.com/baldwin-6974-102-entr-hardware-lakeshore-entry-front-door-handle.html
Baldwin,"<div class=""product attribute description""> <div class=""value"">Baldwin Hardware 6974.264.ENTR Lakeshore Entry Front Door Handle</div></div>",,https://www.afsupply.com/media/catalog/product/cache/2f6d849428e32928a663b11523157b79/2/1/21mznipUNoL.jpg,6974.264.ENTR,347.34,579.00,6974264ENTR,,Out of Stock,Baldwin 6974.264.ENTR Hardware Lakeshore Entry Front Door Handle,829846261082,https://www.afsupply.com/baldwin-6974-264-entr-hardware-lakeshore-entry-front-door-handle.html
