desc,images,price,title,url
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Driptrays for mounting under exposed condensers to collect condensate during heat pump operation</p>
<p>DSL-37 Large drip tray, 1 per carton, $70.00 each</p>
<p> </p>		</div>",{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/DripShield DSS-312.jpg'},70.00,Dripshield DSL-37,https://www.marketair.com/shop/dripshield/dripshield-dsl-37-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Driptrays for mounting under exposed condensers to collect condensate during heat pump operation</p>
<p>DSS-31 Small drip tray, 1 per carton, $62.00 each</p>
<p> </p>		</div>","{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/DripShield DSS-31.jpg', 'image_url_2': 'https://www.marketair.com/images/stories/virtuemart/product/DripShield DSS-31 -install-1.jpg'}",62.00,Dripshield DSS-31,https://www.marketair.com/shop/dripshield/dripshield-dss-31-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Airstream deflectors for wall mounted Minisplit Evaporators</p>
<p>DFAS-33 Small deflector</p>		</div>",{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/Deflector1-11.jpg'},220.00,Deflectair DFAS-33 ,https://www.marketair.com/shop/deflectair/deflectair-dfas-33-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Airstream deflectors for wall mounted Minisplit Evaporators</p>
<p>DFAL-41 Large deflector kit</p>
<p> </p>		</div>",{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/Deflector1-1.jpg'},250.00,Deflectair DFAL-41,https://www.marketair.com/shop/deflectair/deflectair-dfal-41-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Weatherproof penetrations for rooftop linesets.</p>
<p>LPS-55 1 per carton, $140.00 each</p>
<p> </p>		</div>","{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/LINEPORT- LPS-55 Good-install.jpg', 'image_url_2': 'https://www.marketair.com/images/stories/virtuemart/product/LINEPORT-LPS-55 roof-inlet.jpg', 'image_url_3': 'https://www.marketair.com/images/stories/virtuemart/product/LinePort-RoofInlet LPL-510 & LPS-554.jpg'}",140.00,Lineport LPS-55,https://www.marketair.com/shop/lineport/lineport-lps-55-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Supplementary 3⁄4"" White mandrel for ducted systems length 13’.</p>
<div class=""warning""><b>DISCLAIMER:</b> Easybend is classified as a tool rather than a consumable, and as such it is NON RETURNABLE.<br> See our specific product warranty in <a href=""/downloads/product-warranty.html"">Downloads</a>.</div>		</div>","{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/EASYBEND-EZBK product Picture8.jpg', 'image_url_2': 'https://www.marketair.com/images/stories/virtuemart/product/EASYBEND EZBK-insert2-18.jpg', 'image_url_3': 'https://www.marketair.com/images/stories/virtuemart/product/EASYBEND- EZBK Bending2-13.jpg'}",40.00,Supplementary 3⁄4 White mandrel for ducted systems,https://www.marketair.com/shop/easybend/supplementary-3-4-white-mandrel-for-ducted-systems-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>Modular pipe support system for condensate &amp; PVC vent in attic &amp; basement installations</p>
<p>PPK-START Starter kit- pack of 5, $52.00 each</p>
<p> </p>		</div>",{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/PERFECT PITCH PPK-START-starterkit-1.jpg'},52.00,Perfect Pitch PPK-START,https://www.marketair.com/shop/perfect-pitch/perfect-pitch-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>DMG-1, Green adaptor, connects cut end of 5/8” drain hose to ¾” PVC pipe. Pack of 20, $7.00 each.</p>		</div>",{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/Drainmate DMG-1.jpg'},7.00,Drainmate DMG-1,https://www.marketair.com/shop/drainmate/drainmate-1-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>DMY-58, Yellow coupler connects 5/8” drain hose to plain or insulated 5/8” flexible hose. Pack of 20, $7.00 each.</p>
<p> </p>		</div>",{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/Drainmate DMY-58.jpg'},7.00,Drainmate DMY-58,https://www.marketair.com/shop/drainmate/drainmate-detail.html
"<div class=""product-description"">
			<span class=""title"">Description</span>
	<p>DMB-34  Blue adaptor, connects directly from 5/8” nipple on drain hose to ¾” PVC pipe. Pack of 20, $7.00 each.</p>
<p> </p>		</div>","{'image_url_1': 'https://www.marketair.com/images/stories/virtuemart/product/drainmate-adapter1.png', 'image_url_2': 'https://www.marketair.com/images/stories/virtuemart/product/drainmate-adapter2.png'}",7.00,Drainmate DMB-34,https://www.marketair.com/shop/drainmate/drainmate-dmb-34-detail.html
