brand,desc,docs,images,mpn,price,sku,specs,title,url,weight,weight_unit
5-2-1 Compressor Saver,"Helps reduce air conditioner,compressor start-up time up to 50%,and lowers energy consumption.",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/32ZN46_AS01_1024x.jpg?v=1601743862'}, CSRU3,60.47,C1134496,"{'Item': 'Hard Start Kit', 'Type': 'Potential Relay, Start Capacitor', 'Control Volts': '208 to 240', 'Contact Rating (Amps)': '35', 'Pick Up': '180 to 195', 'Drop Out': '40 to 105', 'Voltage': '208 to 240', 'Phase': '1', 'Hz': '60', 'HP': '4 to 5', 'Increased Torque (Oz-In)': '800', 'Time Delay': 'No', 'Temp Rating (F)': '149', 'Depth': '2 1/2 in', 'Height': '6 1/2 in', 'Width': '3 in', 'Application': '4-5 tons A/C Units', 'For Use With': 'A/C Systems', 'Agency Compliance': 'cUL, CE', 'Includes': 'Capacitor, Mounting Screws, Potential Relay, Zip-Tie'}","5-2-1 Compressor Saver Hard Start Kit, Potential Relay, Start Capacitor, 208 to 240 Voltage, 35 Contact Rating (Amps) - CSRU3",https://www.sustainablesupply.com/products/5-2-1-compressor-saver-hard-start-kit-4-5-tons-a-c-units-csru3-c1134496,1.0,lb
AC-Guard,Adjustable cage protects 1 or more condensers from copper theft.,{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/5ULD4_AW01_1024x.jpg?v=1601794117'}, ACGU,393.14,C1139618,"{'Item': 'A/C Condenser Security Cage', 'Type': '16 guage Steel', 'Description': '.1 in tubing size, H Adjustable 34 to 59 In, W x D Adjustable 30 to 51 In', 'Package Quantity': '1'}","AC-Guard A/C Condenser Security Cage, 16 guage Steel - ACGU",https://www.sustainablesupply.com/products/ac-guard-a-c-security-cage-3-way-adj-acgu-c1139618,65.0,lb
AO Smith,"Ignitor, 1-3/4""; Fits Brand: A.O. Smith; Includes: Ignitor",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/28PV31_AW01_1024x.jpg?v=1601727448'}, 100110899,187.04,C1121139,"{'Item': 'Ignitor, 1-3/4""', 'Fits Brand': 'A.O. Smith', 'Includes': 'Ignitor'}","AO Smith Ignitor, 1-3/4"", Fits Brand A.O. Smith - 100110899",https://www.sustainablesupply.com/products/ao-smith-ignitor-1-3-4-in-9006101205-c1121139,0.6,lb
5-2-1 Compressor Saver,"Helps reduce air conditioner,compressor start-up time up to 50%,and lowers energy consumption.",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/32ZN44_AS01_1024x.jpg?v=1601743862'}, CSRU1,48.78,C1134494,"{'Item': 'Hard Start Kit', 'Type': 'Potential Relay, Start Capacitor', 'Control Volts': '208 to 240', 'Contact Rating (Amps)': '35', 'Pick Up': '162 to 175', 'Drop Out': '40 to 90', 'Voltage': '208 to 240', 'Phase': '1', 'Hz': '60', 'HP': '4 to 5', 'Increased Torque (Oz-In)': '300', 'Time Delay': 'No', 'Temp Rating (F)': '149', 'Depth': '2 in', 'Height': '5 1/2 in', 'Width': '1 3/4 in', 'Application': '1 - 3 tons A/C Units', 'For Use With': 'A/C Systems', 'Agency Compliance': 'cUL, CE', 'Includes': 'Capacitor, Mounting Screws, Potential Relay, Zip-Tie'}","5-2-1 Compressor Saver Hard Start Kit, Potential Relay, Start Capacitor, 208 to 240 Voltage, 35 Contact Rating (Amps) - CSRU1",https://www.sustainablesupply.com/products/5-2-1-compressor-saver-hard-start-kit-1-2-3-tons-a-c-units-csru1-c1134494,0.64,lb
5-2-1 Compressor Saver,"Helps reduce air conditioner,compressor start-up time up to 50%,and lowers energy consumption.",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/32ZN45_AS01_1024x.jpg?v=1601743861'}, CSRU2,60.94,C1134495,"{'Item': 'Hard Start Kit', 'Type': 'Potential Relay, Start Capacitor', 'Control Volts': '208 to 240', 'Contact Rating (Amps)': '35', 'Pick Up': '180 to 195', 'Drop Out': '40 to 105', 'Voltage': '208 to 240', 'Phase': '1', 'Hz': '60', 'HP': '3.5 to 5', 'Increased Torque (Oz-In)': '500', 'Time Delay': 'No', 'Temp Rating (F)': '149', 'Depth': '2 in', 'Height': '6 in', 'Width': '2 in', 'Application': '3.5-4-5 tons A/C Units', 'For Use With': 'A/C Systems', 'Agency Compliance': 'cUL, CE', 'Includes': 'Capacitor, Mounting Screws, Potential Relay, Zip-Tie'}","5-2-1 Compressor Saver Hard Start Kit, Potential Relay, Start Capacitor, 208 to 240 Voltage, 35 Contact Rating (Amps) - CSRU2",https://www.sustainablesupply.com/products/5-2-1-compressor-saver-hard-start-kit-35-4-5-tons-a-c-units-csru2-c1134495,0.9,lb
ASCO,"Solenoid Valve Rebuild Kit; For Use With Mfr. Model Number: 8262G263 DC, 8262G148 DC; Includes: Cap Retaining, Clip Retaining, Core Assembly, Disc, Gasket, O-Ring, Plugnut Assembly, Retainer, Solenoid Base Sub Assembly, Spring Compression And Instructions, Stem, Washer Spring",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/2LBE1_AS01_28c5f4a9-dc1a-4097-9ada-44c1f1580de6_1024x.jpg?v=1601733033'}," umber 8262G263 DC, 8262G148 DC - 2LBE2|302080 - Grainger",191.56,C3012890,"{'Item': 'Solenoid Valve Rebuild Kit', 'For Use With Mfr Model Number': '8262G263 DC, 8262G148 DC', 'Includes': 'Cap Retaining, Clip Retaining, Core Assembly, Disc, Gasket, O-Ring, Plugnut Assembly, Retainer, Solenoid Base Sub Assembly, Spring Compression And Instructions, Stem, Washer Spring'}","ASCO Solenoid Valve Rebuild Kit, For Use With Mfr. Model Number 8262G263 DC, 8262G148 DC - umber 8262G263 DC, 8262G148 DC - 2LBE2|302080 - Grainger",https://www.sustainablesupply.com/products/asco-302080-solenoid-valve-rebuild-kit-for-3ul69-c3012890,0.28,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F323_AS01_2b2a57f7-5417-4b4e-92a5-c90f6db9d8de_1024x.jpg?v=1601759215'}, 13002510,72.85,C1135690,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '30', 'Flexible Duct Inside Dia': '10 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.05', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Metallized Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD 515-2.1, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 10 in Flexible Duct Inside Dia. - 13002510",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-polyester-180f-13002510-c1135690,13.5,lb
ASCO,"Solenoid Valve Rebuild Kit; For Use With Mfr. Model Number: EF8210B026 AC; Includes: Cap Retaining Clip, Clip Retaining Core/Seat Assembly, Disc, Nut Lock, O-Rings, Piston, Ring Piston, Ring Retaining, Ring Rider, Solenoid Base Sub Assembly And Instructions, Washer",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/2LBD3_AS01_1024x.jpg?v=1601733030'}, umber EF8210B026 AC - 2LBD3|302295 - Grainger,493.37,C3012895,"{'Item': 'Solenoid Valve Rebuild Kit', 'For Use With Mfr Model Number': 'EF8210B026 AC', 'Includes': 'Cap Retaining Clip, Clip Retaining Core/Seat Assembly, Disc, Nut Lock, O-Rings, Piston, Ring Piston, Ring Retaining, Ring Rider, Solenoid Base Sub Assembly And Instructions, Washer'}","ASCO Solenoid Valve Rebuild Kit, For Use With Mfr. Model Number EF8210B026 AC - umber EF8210B026 AC - 2LBD3|302295 - Grainger",https://www.sustainablesupply.com/products/asco-302295-solenoid-valve-rebuild-kit-c3012895,0.77,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F328_AS01_eb105666-c634-4b60-9821-82add4fa3e6f_1024x.jpg?v=1601759216'}, 17002510,70.73,C1135694,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '70', 'Flexible Duct Inside Dia': '10 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.6', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Gray Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 10 in Flexible Duct Inside Dia. - 17002510",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-180f-polyester-17002510-c1135694,14.0,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F323_AS01_42df04af-5262-4dd7-8d2d-c01551bc3469_1024x.jpg?v=1601759215'}, 13002508,65.10,C1135689,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '30', 'Flexible Duct Inside Dia': '8 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.05', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Metallized Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD 515-2.1, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 8 in Flexible Duct Inside Dia. - 13002508",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-180f-8-in-dia-13002508-c1135689,10.0,lb
