address_line_one,address_line_two,brand,district,full_address,phone_number,pincode,state,store_name
13 UPADHYA INDUSTRIAL ESTATE  NEAR, TOLL NAKA W  E  HIGHWAY DAHISAR (,BIRLA,Mumbai,13 UPADHYA INDUSTRIAL ESTATE  NEAR TOLL NAKA W  E  HIGHWAY DAHISAR (, 9322351917,400068,MAHARASHTRA,M.M.TYRES
VISHWAKARMA IND ESTATE SHOP   3, CHINC  HWARDI  DAHISAR (EAST) ,BIRLA,Mumbai,VISHWAKARMA IND ESTATE SHOP   3 CHINC  HWARDI  DAHISAR (EAST) , 8976572999,400068,MAHARASHTRA,PRINCE TYRES
Unit No. 801   Boomerang 8th Floor,  Adheri ( E )  Wings A&B1   Chand,BIRLA,Mumbai,Unit No. 801   Boomerang 8th Floor  Adheri ( E )  Wings A&B1   Chand, 9892758831,400072,Maharashtra,Fedex (India)
203/204    ROOP DARSHAN    BLDG  , D  ANDHERI (WEST)    JUHU LANE  ,BIRLA,Mumbai,203/204    ROOP DARSHAN    BLDG   D  ANDHERI (WEST)    JUHU LANE  , 9820021674,400058,MAHARASHTRA,ACCURATE HYDRAULICS PVT LTD
SHOP NO   9 LALJI DEOJI CHAWL  , GOKULDAS PASTA ROAD DADAR,BIRLA,Mumbai,SHOP NO   9 LALJI DEOJI CHAWL   GOKULDAS PASTA ROAD DADAR, 9892109821,400014,MAHARASHTRA,ASHIRWAD TYRE SERVICE
SHOP NO 3 JAWAR NAGAR   1  BEHIND, PETROL PUMP S  V  ROAD GOREGAON ,BIRLA,Mumbai,SHOP NO 3 JAWAR NAGAR   1  BEHIND PETROL PUMP S  V  ROAD GOREGAON , 9821150357,400104,MAHARASHTRA,BATHEJA TYRES
48 PARAG ROOM NO 2/3  SCHEME NO  , 6 ROAD NO    5 MATUNGA,BIRLA,Mumbai,48 PARAG ROOM NO 2/3  SCHEME NO   6 ROAD NO    5 MATUNGA, 9323421157,400019,MAHARASHTRA,KAMAL AUTOMOBILES
SHOP   4 ARYA PREM CHS SEC   1E , PLOT NO 145A/148,BIRLA,Mumbai,SHOP   4 ARYA PREM CHS SEC   1E  PLOT NO 145A/148, 9769830305,410218,MAHARASHTRA,M/S R.J.TRADING CO.
PLOT NO 46    OFFICE NO 5  ADIMATA, COMPLEX  CHEMBUR  V  N PURAV MARG,BIRLA,Mumbai,PLOT NO 46    OFFICE NO 5  ADIMATA COMPLEX  CHEMBUR  V  N PURAV MARG, 9292023238,400071,MAHARASHTRA,JEES TYRE
UNIT NO 123    D2  WADALA TRUCK, TERMINAL,BIRLA,Mumbai,UNIT NO 123    D2  WADALA TRUCK TERMINAL, 8080808059,400037,Maharashtra,Chirag Carriers
B10 PATEL GARDEN  NEAR KAKROLA, MORE DAWRKA MORE  ,BIRLA,Delhi,B10 PATEL GARDEN  NEAR KAKROLA MORE DAWRKA MORE  , 9999984064,110059,DELHI,AHUJA TYRE
SHOP  NO  6  835D SOM BAZAR,DELHI,BIRLA,Delhi,SHOP  NO  6  835D SOM BAZARDELHI, 9266751083,110043,DELHI,AMAN TYRE SHOP
SHOP NO  D169  2 AND 3 FATEH NAGAR, JAIL ROAD,BIRLA,Delhi,SHOP NO  D169  2 AND 3 FATEH NAGAR JAIL ROAD, 9810037865,110018,DELHI,Bindra Tyre Shoppe
CW   555  SANJAY GANDHI TRANSPOTR , NAGAR    ,BIRLA,Delhi,CW   555  SANJAY GANDHI TRANSPOTR  NAGAR    , 9312280477,110042,DELHI,CENTRAL TYRES
PLOT NO   01   A KRISHNA VIHAR , NAJAFGRAH    ,BIRLA,Delhi,PLOT NO   01   A KRISHNA VIHAR  NAJAFGRAH    , 9811276903,110043,DELHI,GOODLUCK ENTERPRISES
A   2/32 MAIN WAZIRABAD ROAD, BHAJANPU  ROAD,BIRLA,Delhi,A   2/32 MAIN WAZIRABAD ROAD BHAJANPU  ROAD, 9811135766,110052,DELHI,HARI OM TYRES COMPANY
