brand,ceat_shoppe,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name
CEAT,0,,,Shop 15 (D.3) Mukund Nagar  Mumbai MAHARASHTRA 400059,50005766,7977288904,400059,,M/S.VISHAL TYRES SERVICE
CEAT,1,,,"Mhada Colony Shop No 10, GF, Krishna Kunj CHS Mumbai MAHARASHTRA 400076",50017407,9821777722,400059,,ROJIN TYRE SERVICES
CEAT,1,,,Shop No. 20 Durg CHS LTD Mumbai MAHARASHTRA 400060,50017159,7977614564,400059,,N.K. TRADING
CEAT,1,,,Opposite Majas Depot Gupta Chawl Mumbai MAHARASHTRA 400060,50013023,9821182631,400059,,JAISWAL TYRES
CEAT,1,,,"SHOP NO.A,02,GRD FLOOR SIDHPURA INDUSTRIAL Mumbai MAHARASHTRA 400086",50031672,9370439249,400059,,VELOCITY TYRES
CEAT,0,,,SHOP NO.7 SERVER NO.320  Mumbai MAHARASHTRA 400069,50004706,9987509275,400059,,HIMACHAL M.M CONSUMERS
CEAT,1,,,"Opposite Oberoi Mall Shop No1, Swatantra Chawl No 2 Mumbai MAHARASHTRA 400063",51000926,9821670120,400059,,NEW MUMBAI TYRE ZONE
CEAT,0,,,13-39.MEGHAL SERV.IND.EST  Mumbai MAHARASHTRA 400080,50005121,9323911989,400059,,M/S.PRINCE TYRES
CEAT,0,,,"SHOP NO.2,3,4 PADMAVATHI COMP  Mumbai MAHARASHTRA 400080",50004833,9967980244,400059,,KWALITY TYRES PVT.LTD.
CEAT,1,,,"SHOP NO 1 BORKAR COMPOUND Shop No 1, Borkar Compound Mumbai MAHARASHTRA 400066",51000910,8657223836,400059,,OSSN ENTERPRISES LLP
CEAT,0,,,Shop No. 1&2 New Orbit Grand Building Greater Mumbai MAHARASHTRA 400013,50014553,9137536088,400059,,R B TYRES
CEAT,1,,,SHOP NO 1 & 2 MANAS ANAND NULL THANE MAHARASHTRA 400607,50018532,9702133312,400059,,MAYUR TYRES
CEAT,0,,,MUMBAI.  Mumbai MAHARASHTRA 400007,50005807,9820543416,400059,,VISHAL TYRES
CEAT,0,,,"GROUND FLOOR,SHOP NO.8 PLOT NO.11,CROWN WARE HOUSING PVT LTD THANE MAHARASHTRA 400705",50031240,9867160062,400059,,TYRE ZONE
CEAT,0,,,SHOP NO.7 SIDHACHAL DARSHAN  Mumbai MAHARASHTRA 400027,50017716,9821618823,400037,,MEERA CORPORATION
CEAT,0,,,"SHOP NO. 4, SARASWATI BHAVAN Greater Mumbai MAHARASHTRA 400007",52000306,9867257897,400037,,SHREE MAHAVEER TYRES
CEAT,0,,,"Y 15-16,DEVI ANNAPURNA CO-OP SOCIE  Raigarh MAHARASHTRA 400705",51000860,9833464960,400037,,PAL TYRES
CEAT,0,,,"209,LAMINGTON ROAD  Mumbai MAHARASHTRA 400007",50005184,9820061753,400037,,PAL TYRES
CEAT,0,,,"A-73,EAST KRISHNA NAGAR  DELHI DELHI 110051",50013813,9212674730,110032,,RAJA CAR PALACE
CEAT,0,,,"A-2/32, MAIN WAZIRABAD ROAD, BHAJANPURA BHAJANPURA DELHI 110053",50012050,9811135766,110032,,HARIOM TYRES CO.
CEAT,0,,,"14/30, GEETA COLONY , SERVICE LINE, OPP. DOMINOS DELHI DELHI 110031",50017091,9211121112,110032,,EKCO TYRES
CEAT,1,,,Near Khureji Petrol Pump Shop No B1 & B2 New Delhi DELHI 110051,50017896,9639291923,110032,,ASAP  HARDWARE SOLUTIONS
CEAT,0,,,"C/O RICHH PAL GROUND FLOOR, KH NO.791 GHAZIABAD UTTAR PRADESH 201005",50031872,9910861102,110032,,CHANDELA SERVICE STATION
CEAT,0,,,NEAR NEAR CNG PUMP GHAZIABAD UTTAR PRADESH 201102,50031140,9599030166,110032,,KRISHNA ENTERPRISES
CEAT,0,,,"G-1, 435 SECTOR-4  Ghaziabad UTTAR PRADESH 201010",50018612,7042195196,110032,,NANDAN TYRES
