brand,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name
FALKENTYRES,,,", 1-2 Shreeji Tower Opp. Himalaya Mall Drive-In-Road , Ahmedabad., Gujarat- 380052",,27912501,,,Hemant Tyre Shop
FALKENTYRES,,,"108-109, Someshwar Complex-2 Jodhpur Cross Road Near Bidiwala Park Satellite , Ahmedabad., Gujarat- 380015",,07926922274,,,JRD Wheel N Way Pvt Ltd
FALKENTYRES,,,"43132, Ratna Palace Near Judges Bungalow Police Chowky Opp. Mother Milk Dairy Bodakdev , Ahmedabad., Gujarat- 380054",,07966300104,,,Maniar Tyre Home
FALKENTYRES,,,", 8 Uma Complex Motipura Shamlalji High Way Road  , Himatnagar, Gujarat- 383001",,02772-228586,,,Nirav Tyre
FALKENTYRES,,,", 7/8 Nilkamal Shopping Centre Kalikund  , Dholka, Gujarat- 387810",,02714-325277,,,Shreeji Tyre (Dholka)
FALKENTYRES,,,", Opp. Bus Stand Below Shri Ram Krupa Guest House Dakor Distt. Kheda , Kheda, Gujarat- 388225",,02699-246305,,,Shree Ram Tyres
FALKENTYRES,,,", 6 Gurudhwara Shopping Centre Chhani , Vadodara, Gujarat- 391740",,0265-2774070,,,Sindlal Tyres Sales & Services
FALKENTYRES,,,"19-20, Parth Empire Street Opp Rambag Police Station Maninagar. , Ahmebada, Gujarat- 380008",,9925511188,,,S.S.Corporation
FALKENTYRES,,,", S Ground Floor Suman Tower CH Road Sector-11 , Gandhi Nagar, Gujarat- 382010",,9426636250,,,Suman Tyres
FALKENTYRES,,,"33, Management Enclave Opp. Indraprasth Bunglows Vastrapur , Ahmedabad, Gujarat- 380015",,8239080717,,,The Tyre Zone
FALKENTYRES,,,"85, Shri Krishna Complex,, Cross Word, Mithakhali Navrangpura Crossing Road , Ahmedabad, Gujarat- 380009",,8866662727,,,Maxwheel
FALKENTYRES,,,"Ground Floor,, 1,2,3 Dev Darshan Complex Opp. Indian Petrol Pump, Bopal Road , Ahmedabad, Gujarat- 380058",,8401175106,,,Tyre Point
FALKENTYRES,,,"GF-11-12,, Ozone Solitaire Opp. Hetarth Party Plot, Scince City Road, Sola , Ahmedabad, Gujarat- 380080",,9978361009,,,Tyre Hub
FALKENTYRES,,,"1, Swastik Plaza, Bhairavnath Road Gopal Chowk, Maninagar , Ahmedabad, Gujarat- 380008",,9327027898,,,Delux Motors
FALKENTYRES,,,"51, Audhyogik Vasahat Shopping Centre-1, Anand Borsad Road Borsad Cross Road , Anand, Gujarat- 388001",,9924390765,,,Jalaram Tyres
FALKENTYRES,,,"Shop No. 14, Suyog Shopping Centre-2, Near Vejalpur Bus Stop, Vejalpur , Ahmedabad, Gujarat- 380051",,9879991113,,,Shiv Shakti Tyre Sales & Service
FALKENTYRES,,,",  Opp. N M Company( HP Petrol Pump),Stat Highway Road , Khedbramha , Sabarkantha, Gujarat- 383255",,9898742434,,,New Gujarat Tyre Service
FALKENTYRES,,,"Opp National Engineering, GIDC , Vadsar Main Road Makarpura , Vadodara, Gujarat- 390010",,Mob. 9898418025,,,Matru Enterprises
FALKENTYRES,,,"Nr. Torrent Power Office, D1, Swami Narayan Avenue Opp. Satyam Skyline Flats, Sola Road , Naranpura, Ahmedabad, Gujarat- 380013",,9824323230,,,Tyre Zone
FALKENTYRES,,,",  Idar-Himmatanagar Highway Road, Mu-Krrushnanagar, Po- Netrali, Distt. Sabarkantha , Idar, Gujarat- 383430",,9228286768,,,Sun Motors
FALKENTYRES,,,", 16-17, Municipal Market,Near Power House,Sabarmati , Ahmedabad, Gujarat- 380005",,9824035967,,,Delux Tyres
FALKENTYRES,,,", 1765 8, Opp.Khushi Party Plot, Beside Anmol Hotel, Tarapur Road , Borsad, Gujarat- 388540",,9427858818,,,Shayona Alignment
FALKENTYRES,,,"422, 2 Opp. Apple Wood, Nr. Shantipura Circle, Bopal Ring Road , Sarkhej -Ahmedabad, Gujarat- 382224",,9909945150,,,Shree Umiya Motors & Tyre Point
FALKENTYRES,,,",  Plot No. 164,Shop No.-19, Punit Shoping Center, Nr Anand Restaurant, GNFC Road , Bharuch, Gujarat- 392001",,9998202930,,,Narmada Wheels
FALKENTYRES,,,"Out side-bharwadi gate, Mr. Bharat petrol pump Viramgam , Ahmedabad, Gujarat- 382150",,9426415274,,,Krishna Motor Garage
FALKENTYRES,,,"Unjha maktupur highway road, Serve no. 3495, Opp Avdhoot CNG pump maktpur, Distt. Mahesana , Unjha, Gujarat- 384170",,9723570008,,,Rudali Cars
FALKENTYRES,,,"Shop No.3, Siddhichakra Complex Opp. Visat Petrol Pump, Sabarmati , Ahmedabad, Gujarat- 380005",,9898110774,,,Gayatri Motors
FALKENTYRES,,,"142, Hariom Chambers, Thakkarpaba Nagar Approch Opp-Adnai hall , Ahmedabad, Gujarat- 382350",,9824572122,,,Nilkanth Corporation
FALKENTYRES,,,"11,12,13, Opp-Bihari Baug, Parpada Road, Abu Road Dist. Banaskantha , Palanpur, Gujarat- 385001",,9825258341,,,Carnation Auto
FALKENTYRES,,,"opp. Government Quarters, Village : Idar, Taluka :Idar Dist: Sabarkantha , Idar, Gujarat- 383430",,9979568447,,,R.L. Tyres
FALKENTYRES,,,"7, Tej Complex, Opp.G.S.F.C. Office Nr. Medi-Surge Hosptal , Mithakhalli, Ahmedabad, Gujarat- 380006",,9725380387,,,Patel Auto Services
FALKENTYRES,,,"4-5, Rameshwar Shopping Centre, Kadi Kalol Road Dist. Mehsana , Kadi, Gujarat- 382715",,9898915838,,,Jay Ganesh Tyre And Wheel Alignment
FALKENTYRES,,,"Near Aggawal Society, Banswada Road Dist. Dahod , Zalod, Gujarat- 389170",,9924092377,,,Adil Tyres
FALKENTYRES,,,"Patel Socity, HP Petrol Pump Distt: Panchmahal , Halol, Gujarat- 389350",,7600064696,,,Janta Tyre Service
FALKENTYRES,,,"5, Rutva Palace, Opp. Technical School Nandelav Road, Nr. Gujrat Gas , Bharuch, Gujarat- 392001",,9724308127,,,Maruti Tyres
FALKENTYRES,,,"G-4, Ground Floor, Kunjal Appartment, Opp. Sasabhai Chemicals Nr. Vadodara Central Mall, Genda Circle , Vadiwadi Vadodara, Gujarat- 390007",,9825091074,,,V.L.P. Enterprise
FALKENTYRES,,,"B-9, Desavali Society, Near Umiya Hall Chandlodia , Ahmedabad, Gujarat- 382481",,9537442050,,,Umiya Wheel Alignment
FALKENTYRES,,,"0, Jyoti Vistar, 0, Near Janpa, Halol  , Halol, Godhara (PMS), Gujarat- 389350",,9974578110,,,Jay Gopal Tyre And Traders
FALKENTYRES,,,"25, Shree Nagjibhai Park, N.H. No.8, Nr. Chamunda Way, Bridge Dabhai Road Karjan Chawkdi, District Vadodara , Karjan, Gujarat- 391240",,9974043590,,,New Munna Tyre Care Point
FALKENTYRES,,,"1-2-3, Shri Hari Corner, Nr. Express Hotel, R.C. Dutt Road  , Alkapuri, Vadodara, Gujarat- 390005",,9825043841,,,J.K. Tyres
FALKENTYRES,,,"GF-14, Royal Homes, Opp. Satyamev Vista, Near Gota Cross Road. S.G.Highway , Gota, Ahmedabad, Gujarat- 382481",,9727017171,,,Tyre Junction
FALKENTYRES,,,"Opp. Panchwati Marriage Hall, Anand Sojitra Road  , Anand, Gujarat- 388001",,7698871000,,,Auto Hub
FALKENTYRES,,,"16-17, Vrundavan Vihar, Near Narol Toll Tax, Opp. RAF Camp S.P. Ring Road, Vastral , Ahmedabad, Gujarat- 382418",,9726672055,,,Meshwa Car Care And Tyre Point
FALKENTYRES,,,"12, Shreehari Complex, Near Ambica Nagar Bus Stand Highway  , Kalol, Gujarat- 382721",,9428852168,,,Bhavna Diesels
FALKENTYRES,,,"B-21 to 24, Shriji Estate, NH 8, Naroda,  , Ahmedabad, Gujarat- 382330",,9426396386,,,Umiya Galaxy Wheel Alignment
FALKENTYRES,,,"37-Shreenath Arcad , 37-Near umiya mata, Temple , Distt ; Gandhinagar , Dehgam, Gujarat- 382305",,9824019179,,,Amritha Tyre Center
FALKENTYRES,,,"C-08, Bhavnath Society, Opp. Nirudula Park, Society Chanakya Puri, , Ghatlodia, Ahmedabad, Gujarat- 380061",,9724312540,,,Bhavani Tyres Shop
FALKENTYRES,,,"1, Undava, State Highway Road  Distt: Sabarkantna, Khedbhrama, Gujarat- 383255",,94281885519,,,Uma Motors
