brand,ceat_shoppe,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name,tel_number
FIRE STONE,,Hyderabad ,,"Road No# 7, Plot No# 16/C, Ida, Nacharam, Ranga Reddy Dist.,Hyderabad 500076",, Mob. No.: 9848887755,,,Srikanth Associates,  
FIRE STONE,,Port Blair ,,"01,netaji Road,aberdeen Bazar,Port Blair 744101",, Mob. No.: 9932080178,,,Dheeraj Motors ,  
FIRE STONE,,Anantapur ,,"#15/754/1, Pavan Complex, Raju Road, Kamala NagarAnantapur 515001",, Mob. No.: 9440512333,,,Pavan Tyre Agencies,  
FIRE STONE,,Anantapur ,,"#5/1, Sai Lakshmi Colony, Besides MG Metalics, Opp. Power Sub Station, Bellary Road,Anantapur 515004",, Mob. No.: 9440557333,,,A. G. Tyres ,  
FIRE STONE,,Bhimavaram ,,"R.S. NO. 147, Bypass Road Junction, Undi Road,Bhimavaram 534202",, Mob. No.: 9494340124,,,Coastal Techno Links,  
FIRE STONE,,Bhimavaram ,,"R.S. No. 147, Byepass Road Junction, Undi Road, West Godavari,Bhimavaram 534202",, Mob. No.: 9441964677,,,Eswar Coastal Techno Links,  
FIRE STONE,,Bhimavaram ,,"#147 Undi Road, Bhimavaram, Bhimavaram 534202",, Mob. No.: 9348653777,,,Coastal Techno Links , 08816 - 222238
FIRE STONE,,Chilakaluripet ,,"D.No. 35-413, Purushottamapattanam, Kotappakonda Raod, Chilakaluripet 522616",, Mob. No.: 9966409399,,,Universal Wheel Alignment Centre,  
FIRE STONE,,Chittoor ,,"#18/498 , Prakasam High RoadChittoor 517001",, Mob. No.: 9440133474,,,Sait  Tyres,  
FIRE STONE,,Chittoor ,, Chittoor ,, Mob. No.: -,,,Sait Tyres ,  
FIRE STONE,,Eluru ,,"B1/B2/B3, Industrial Estate, Vatluru Panchayat, Pedapadu Mandal, Eluru 534007",, Mob. No.: 9494943355,,,Sri Car Tech Work Shop,  
FIRE STONE,,Eluru ,,"Vasanthamahal Centre, G. N .T. Road,Eluru ",, Mob. No.: 9398333111,,,Sree Rama Tyres ,  
FIRE STONE,,Guntur ,,"Shop No. 5,6,7 &8, Banu Complex,  Phase IV, Auto nagar,Guntur 522001",, Mob. No.: 9030519026,,,Banu Tyre Shoppe, 0863 - 3201980
FIRE STONE,,Guntur ,,"Plot No.5&6,banu Complex,phase-4,autonagar,Guntur ",, Mob. No.: 9348151980,,,Banu Tyre Shoppe ,  
FIRE STONE,,Kadapa ,,"#21/433/A , Veeraswamy Mandi StreetKadapa 516001",, Mob. No.: 9687605291,,,Krishtam Tyres,  
FIRE STONE,,Kadapa ,,"42-101-1, Bhagyanagar Colony, Next To Shivalayam, Kadapa 516001",, Mob. No.: 9885126793,,,Kristam Tyres ,  
