brand,district,email_id,full_address,goodyear_zone,manufacturer_unique_id,phone_number,pincode,state,store_name,website
Good Year,,"
								  aptyre@gmail.com								  ","Tilaka manjhi chowk,Bhagalpur",0,,9334850313,,,A P TYRES,https://www.goodyear.co.in/store/a-p-tyres
Good Year,,,"No.6,Ullal Main Road,Press Layout,Bangalore-560056",0,,8884330083,,,AADYA CAR CARE,https://www.goodyear.co.in/store/aadya-car-care
Good Year,,,"Near Mahaveer filling station,P.O.- Bhamla,Tehsil-Sarkaghat, District-Mandi, H.P.",0,,9882632449,,,A R TYRE & ACCESSORIES,https://www.goodyear.co.in/store/a-r-tyre-accessories
Good Year,,,"GR FLOOR, A-22A, SEWAK PARK, NEAR DWARKA MORE, UTTAM NAGAR, WEST DELHI, DELHI- 110059",0,,01171568678,,,A PLUS TYRE SHOPPE,https://www.goodyear.co.in/store/a-plus-tyre-shoppe
Good Year,,"
								  abcartyres@gmail.com								  ",Kottayil Building Opposite Palghat Poly Clinic Kalmandapam Kunnathrumedu Palakkad Kerala,0,,8891733040,,,ABCAR Tyres,https://www.goodyear.co.in/store/abcar-tyres
Good Year,,,"1, Kabar Kutta, G T Road, Aligarh",0,,8826660470,,,Agarwal Agencies,https://www.goodyear.co.in/store/agarwal-agencies
Good Year,,"
								  Ansari.Tyre@Yahoo.Com								  ",Shop no 22/S 11 12 Smarat Ashok Udhyan NH-112 Pal Road Jodhpur Rajasthan India,0,,9810679876,,,Ansari Tyres,https://www.goodyear.co.in/store/ansari-tyres-2
Good Year,,,"SHOP NO-48/23, PERAMBUR HIGH ROAD, JAMALIA, CHENNAI, TAMIL NADU- 600012",0,,044-42693366,,,ABS WHEELS,https://www.goodyear.co.in/store/abs-wheels
Good Year,,"
								  kapoormotors@gmail.com								  ",Nanital Road Rampur (U.P.)-,0,,9457045573,,,Abhishek Tyres,https://www.goodyear.co.in/store/abhishek-tyres
Good Year,,"
								  adarshtyres2010@gmail.com								  ","A-5-6, HIGHWAY ESTATE, NR.HOTEL HIGHWAY, SARKHEJ-SANAND CROSS ROAD",0,,9426050733,,,ADARSH TYERS,https://www.goodyear.co.in/store/adarsh-tyers
Good Year,,"
								  mohdmainul420@gmail.com								  ","THANGAL BAZAR, KHOYATHONG ROAD, NEAR SHANI MANDIR, IMPHAL WEST",0,,9402087869,,,ABC TYRE SERVICE,https://www.goodyear.co.in/store/abc-tyre-service
Good Year,,"
								  CHADHATYRE9@GMAIL.COM								  ",D-9 Mayapuri Phase -II New Delhi Delhi,0,,01171568595,,,Acheet CTS Pvt Ltd,https://www.goodyear.co.in/store/acheet-cts-pvt-ltd
Good Year,,"
								  riaz.ansari80@gmail.com								  ","Shop No 487/1, Darpan Complex, GT Road, Dilshad Garden",0,,01161495534,,,Ansari Tyres,https://www.goodyear.co.in/store/ansari-tyres
Good Year,,,"VP- 19/693, PANAVELI, KOTTARAKARA, KOLLAM, KERALA- 691532",0,,8921565165,,,Angel Tyres,https://www.goodyear.co.in/store/angel-tyres
Good Year,,,"Near City Centre bridge, City Centre, Gwalior, Madhya Pradesh",0,,9826287583,,,AM Car House,https://www.goodyear.co.in/store/am-car-house
Good Year,,,Door:No:10-39 NH-66 GORIGUDDA UJJODI MANGALORE,0,,9343569324,,,Alva’s Tyre Care Centre,https://www.goodyear.co.in/store/alvas-tyre-care-centre
Good Year,,,"West of Iron Bridge,Allepay, Kerala",0,,9847057216,,,Alleppy Pavalam Tyres,https://www.goodyear.co.in/store/alleppy-pavalam-tyres
Good Year,,"
								  bagratyres@gmail.com								  ","4- DEVI NAGAR MODE, METRO PILLAR NO- 79, NEW SANGANER ROAD, SODALA, JAIPUR, RAJASTHAN- 302018",0,,9829060912,,,BAGRA TYRES PRIVATE LIMITED,https://www.goodyear.co.in/store/bagra-tyres-private-limited
Good Year,,"
								  bose@gmail.com								  ",Bose Tower Kandanaserry Guruvayoor Kerala-,0,,9995276818,,,Bose Tyres,https://www.goodyear.co.in/store/bose-tyres
Good Year,,"
								  jcr@cheeryagencies.com								  ","No.39/1, JC Road, Opp Punjab & Sind Bank",0,,08047486518,,,"Cherry, Tyre Park",https://www.goodyear.co.in/store/cherry-agencies-yeshvantpur
Good Year,,,Junction NH 49 Adimaly,0,,9447981326,,,Eltech Wheel Alignment,https://www.goodyear.co.in/store/eltech-wheel-alignment
Good Year,,,51/1 Vishveshwarya Road 80Ft road .BTM 4th Stage Off Bg Road Bangalore,0,,9060906020,,,Express Car Care,https://www.goodyear.co.in/store/express-car-care
Good Year,,"
								  palashmitra.euro@gmail.com								  ","365,GARIA MAIN ROAD,KOLKATA 700084",0,,9831456088,,,EURO AUTOMOBILE,https://www.goodyear.co.in/store/euro-automobile
Good Year,,,"Ashroli Crossing G T Road Etah,Etah, Uttar Pradesh",0,,9412388005,,,Etah Tyre House,https://www.goodyear.co.in/store/etah-tyre-house
Good Year,,"
								  empire_agencies.cbsa@gmail.com								  ","Near Post office,Chaibasa",0,,9431110005,,,EMPIRE AGENCIES,https://www.goodyear.co.in/store/empire-agencies
Good Year,,,"No 6 A, Mohan Nagar,100 Feet Road, Pondicherry.",0,,9025822666,,,Easy Drive,https://www.goodyear.co.in/store/easy-drive
Good Year,,"
								  eagletyres8388@gmail.com								  ","3/99C, Main Road Philominagar, Adaikalapuram Road, Virapandiapatnam.",0,,8525000000,,,Eagle Tyres,https://www.goodyear.co.in/store/eagle-tyres
Good Year,,"
								  kirna_sales@rediffmail.com								  ","Ground floor, Old GT Road,Monoharpur East, Dankuni,Hooghly, West Bengal, Pin- 711224",0,,9831022156,,,DUNLOP TYRE & BATTERY CENTRE,https://www.goodyear.co.in/store/dunlop-tyre-battery-centre
Good Year,,,"S.H. complex,near Indus Motors,Mukkampalamoodu,Vattapara P.O.Trivandrum-695028",0,,9947745039,,,GOOD LUCK TYRES,https://www.goodyear.co.in/store/good-luck-tyres
Good Year,,,"Opp- Bharadwaj Hospital,Haridwar Road",0,,9719103901,,,Grover Tyre Shopee,https://www.goodyear.co.in/store/grover-tyre-shopee
Good Year,,"
								  harshawheels@gmail.com								  ","# 8-123/1, MADHURA NAGAR COLONY, RAI DURG, CHITRAPURI COLONY, MANIKONDA",0,,04071327404,,,GREESHMAS HARSHA WHEELS,https://www.goodyear.co.in/store/greeshmas-harsha-wheels
Good Year,,,CHAKRATA ROAD VIKASNAGAR DEHRADUN-,0,,9412149830,,,Goyal Tyres,https://www.goodyear.co.in/store/goyal-tyres
Good Year,,"
								  guptatyrecokanpur@gmail.com								  ","107/3-A,Jarib Chowki,Heera Ganj,Jawahar Nagar,Kanpur-UP-208012",0,,9453021023,,,GUPTA TYRE CO,https://www.goodyear.co.in/store/gupta-tyre-co
Good Year,,"
								  mittugoyal82@gmail.com								  ",SCO NO-14 INDUSTRIAL AREA PHASE-2 CHANDIGARH-,0,,01726768383,,,Goyal Steels,https://www.goodyear.co.in/store/goyal-steels
Good Year,,,"1,237, A, CHIRACKAL, KURICHY, KOTTAYAM, KERALA- 686549",0,,9544171195,,,GOLDEN WHEELS,https://www.goodyear.co.in/store/golden-wheels
Good Year,,"
								  ajazreshi606@gmail.com								  ","SUMBAL SONAWARI , SUMBAL BANDIPORA, Kashmir",0,,7006450578,,,GREEN CITY TYRES,https://www.goodyear.co.in/store/green-city-tyres
Good Year,,"
								  hemanttyre1967@gmail.com								  ","1-2, SHREEJI TOWER, OPP:HIMALAYA MALL, DRIVE IN ROAD",0,,07971845372,,,HEMANT TYRE SHOP,https://www.goodyear.co.in/store/hemant-tyre-shop
Good Year,,"
								  hariomwheels@gmail.com								  ","WZ 13A/1, ASALATPUR, JANAKPURI, NEAR A2 BLOCK GURUDWARA, NEW DELHI – 110058",0,,9711141411,,,Hari Om Wheels,https://www.goodyear.co.in/store/hari-om-wheels
Good Year,,"
								  rajneeshkasaudhan2@gmail.com								  ","Station Road, Lal Chauraha, Tulsipur,Uttar Pradesh",0,,9651224795,,,HARI OM SALES,https://www.goodyear.co.in/store/hari-om-sales
Good Year,,"
								  lalitgoyal198@gmail.com								  ",Wadala Chowk Opp Dhillan Cold Storage Nakodar Road Jalandhar Punjab,0,,9855716198,,,GURU NANAK TYRE STORE,https://www.goodyear.co.in/store/guru-nanak-tyre-store
Good Year,,,"17, SHOP NO- 3, KODIGEHALLI MAIN ROAD, BELOW SUG REGISTRAR OFFICE, SAHAKAR NAGAR, BENGALORE, KARNATAKA- 560092",0,,9845688345,,,HAPPY WHEELS,https://www.goodyear.co.in/store/happy-wheels
Good Year,,,"G.T. ROAD, MOGA, PUNJAB- 142001",0,,9780210201,,,GURU NANAK TYRE HOUSE,https://www.goodyear.co.in/store/guru-nanak-tyre-house
Good Year,,,"GH-14/557, PASCHIM VIHAR, NEW DELHI- 110087",0,,9810800795,,,GURMEET TYRE SHOPPE,https://www.goodyear.co.in/store/gurmeet-tyre-shoppe
Good Year,,"
								  gurgaontyres@gmail.com								  ","OPP UNIWORD CITY, SILOKHRA ROAD, VIJAY VIHAR, SECTOR-30, GURUGRAM, HARYANA - 122001",0,,9958857585,,,GURGAON TYRES,https://www.goodyear.co.in/store/gurgaon-tyres
Good Year,,,O PM 18/514-30 ByPassRoad Perinthilmanna 18 Perinthilmanna Kerala-,0,,9847640137,,,HI-TECH WHEELS,https://www.goodyear.co.in/store/hi-tech-wheels
Good Year,,,"VDL PLAZA, PARAVATTANI, THRISSUR, KERALA - 5",0,,9961830603,,,HI TECH TYRES,https://www.goodyear.co.in/store/hi-tech-tyres
Good Year,,"
								  sales@hemanttyrezone.com								  ","UJALA CROSS ROAD, SARKHEJ",0,,9723697111,,,HEMANT TYRE ZONE,https://www.goodyear.co.in/store/hemant-tyre-zone
Good Year,,"
								  tyres.gupta@yahoo.com								  ","77/B, GANDHI NAGAR, JAMMU",0,,9419190839,,,GUPTA TYRES,https://www.goodyear.co.in/store/gupta-tyres
Good Year,,"
								  gttkarnal@yahoo.com								  ","RAILWAY ROAD, KARNAL, HARYANA - 132001",0,,9215538677,,,GUPTA TYRE TRADERS,https://www.goodyear.co.in/store/gupta-tyre-traders
Good Year,,"
								  msgoel.net@gmail.com								  ",A-8 WEST JYOTI NAGAR DELHI-,0,,9810206325,,,Goel Motor,https://www.goodyear.co.in/store/goel-motor
Good Year,,,"Br. O.: S.V. Road Opp Khar Traffic Police Chowky, Khar, Mumbai-400052",0,,02071969226,,,Gobind Tyres,https://www.goodyear.co.in/store/gobind-tyres
Good Year,,"
								  seek_smita@yahoo.co.in								  ","Industrial Area, A- Sector, Near Central bank, Naharlagun, Dist- Papum Pare, State- Arunachal Pradesh, PIN- 791110",0,,9436252454,,,JAIN CO/EVEREST,https://www.goodyear.co.in/store/jain-co-everest
Good Year,,"
								  shreemotors@hotmail.com								  ","Near Circuite house, Jaipur road, Sikar",0,,9414038385,,,Jai Shree Tyre Zone,https://www.goodyear.co.in/store/jai-shree-tyre-zone
Good Year,,"
								  indoradialclub@yahoo.com								  ","No 9/2, Asutosh Mukherjee Road, Opp Merlin Homeland",0,,03371645740,,,INDO RADIAL CLUB,https://www.goodyear.co.in/store/indo-radial-club
