brand,dealer_name,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name
MAXXIS, Rohit Gupta,Jammu,," Near PNB Bank  National Highway , Vijaypur",5107, 9797352000, 184120, and Kashmir,ARSS JANDYAL TYRE SHOPEE
MAXXIS, Rajat Bawa,Jammu,, 01 Main Chowk Patoli Mangotrian ,5103, 9796689761, 180013, and Kashmir,Bawa Traders
MAXXIS, Aashim Gupta,Jammu,," Lane No 5, Main Road , Greater Kailash , check",2314, 8715000006, 180011, and Kashmir,J.S Wheels
MAXXIS, Sarbjot Singh Dua,Jammu,," Yard 7 Shop No. 41 , Narwal",5102, 9419111001, 180013, and Kashmir,Jot Tyres
MAXXIS, Tarun,Jammu,," Shanti complex , Ground Floor Akhnoor",5105, 9622004787, 180001, and Kashmir,Pit Spot 87
MAXXIS, Nishu Sharma,Jammu,," Opp. Raddisson Blu , Narwal",5104, 9107770004, 180013, and Kashmir,Sai Enterprises
MAXXIS, Manu Mayank,Jammu,," AM Tower Near Jai Hind Bakery , Channi Himmat",5106, 9622000505, 180001, and Kashmir,Universal Wheels
MAXXIS, Vikram Chowdhary,R.S Pura,," Main Bus stand , R S Pura",5101, 9419114962, 181102,Jammu and Kashmir,V.K. Tyre Plaza
MAXXIS, Mohit Wadhva, Lucknow,," Shop No, 1, Shivaji Marg, Haibat Raod Chiraha, Hamidabad Lucknow, Uttar Pradesh , Shop No, 1, Shivaji Marg, Haibat Raod Chiraha, Hamidabad Lucknow, Uttar Pradesh",3864, 9889017700, 226003,Uttar Pradesh,Wadhwa & Sons
MAXXIS, Deepak Kumar,Agra,," Agra Road, Shamsabad ",3418, 9548869313, 283125,Uttar Pradesh,Amardeep Tyres
MAXXIS, Sachin Malhotra,Agra,," Shop No. 2, Bypass Road, Khandari Bye Pass, Dev Nagar, Khandar ",3372, 9897147067, 282005,Uttar Pradesh,City Wheels
MAXXIS, Mr Jain,Agra,," Mahatma Gandhi Rd, Pratap Pura, Rakabganj ",2803, 8630945242, 282001,Uttar Pradesh,Jainson Agencies
MAXXIS, Ashok Kumar,Agra,," M.g. Road 2, Aparna Market, Parshuram Nagar, Pandav Nagar, Shahganj ",3127, 8755621010, 282010,Uttar Pradesh,Kamla Auto Spares
MAXXIS, Mr.Amit Pal Singh,Agra,," 4/43 Baluganj Gwalior Road,Agra ",4544, 8171456947, 282001,Uttar Pradesh,Narendra Tyre House
