brand,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name
METZELER,Pune,,"Shop no. 1 to 4, Shrishti Centre, Nagar Road, Wadgaon Sheri, Opp., Hotel Novotel, 411014",IN0000000041,9850880088,,,TYRE TRAX
METZELER,Pune,,"84/1 Bhairobanala Near Ganpati, Mandir, Fatima Nagar, 411040",IN0000000044,7225808080,,,PRATIK ENTERPRISES
METZELER,Pune,,"796 Ravivar Peth, Near Soniya, Maruti Chowk, 411002",IN0000000047,9371000905,,,M BALTODA
METZELER,Pune,,"13/24 Bankarwada, Opp PMC, Outgate, 411005",IN0000000042,9422306479,,,PRABHAT TYRES
METZELER,Pune,,"426/A,j m road,near j m temple,opp bank of baroda,behind shailaja bar,, 411005",IN0000000040,9921595756,,,PUNGLIYA TYRES
METZELER,Pune,,"NO. 1023/24, Bhavan Park Road, Swargate Corner, 411002",IN0000000046,9372051199,,,N MEHTA TYRES
METZELER,Pune,,"Shop no. 1 & 2 YASHOKAMAL, 25/14 ERANDWANE, NEXT TO GARWARE COLLEGE, Off Karv Road, 411004",IN0000000043,9822044377,,,LOKMANYA AUTO CENTRE
METZELER,Pune,,"7 & 8 Sai Arcade Bulding, Next to Hotel Ranjai Garden, Pune-Mumbai, Express Highway, Wakad, 411057",IN0000000045,7507599997,,,SAI PRASAD WHEELS & TYRES
METZELER,Mumbai,,"Arya Estate, Near  Kapurbawdi, Big Bazaar, Next to  Syndicate Bank and Vardaman Garden, Old Agra Road, Balkum, Thane ( W),  400608",IN0000000037,9619404075,,,PREMJI MOTORS PVT.LTD
METZELER,Navi Mumbai,,"UNIT -01 ,PLOT-144  NEAR HOTEL BLUE Diamond,Sector-28 ,Vashi,, 400703",IN0000000039,9820363859,,,SUN CORPORATION
METZELER,Mumbai,,"Dev Milan, L.B.S Marg, Opp. Raheja Gardens, Thane (W), 400606",IN0000000038,9821552231,,,SUPREME TYRE & ACCESSORIES
METZELER,Mumbai,,"Shop No.4/5/7 Raviraj Residency, Near Railway Phatak, Byayander - East, Thane, 401 101",IN0000000036,7208619672,,,SUPER TYRE
METZELER,Kohlapur,,"E/334, F-17, Trade Center, Station Road, 416001",IN0000000048,9371108406,,,SATISH TYRES
METZELER,Mumbai,,"Shop no. 10, Veena Apartments, Sejal Park, BEST colony Road, Near Oshiwara Bus Depot, Goregaon (W), 400104",IN0000000035,9930683555,,,TORUS VENTURES
METZELER,Mumbai,,"Shop no. 1 & 2, New Orbit Grand Building, N.M. Joshi Marg, Opp. South BMC Office, Lower Parel (W), 400013",IN0000000033,9869779787,,,R B TYRES
METZELER,Chennai,,"No.15, Kumaraswamy Nagar, MTH Road, Near Nathamuni Theatre, Villivakam, 600049",IN0000000022,9962027666,,,TYRES R US PVT LTD
METZELER,Chennai,,"No.547, Ponnamalle High Road, Next to Thiruveethi Amman Temple, Arumbakkam, 600106",IN0000000023,9488500000,,,W AUTO PRO
METZELER,Chennai,,"No.74, Greams Road, Thousands Light, 600006",IN0000000018,9840920870,,,TYRE STORE
