appointment_booking_url,brand,brand_website_store_url,district,email_id,full_address,google_maps_direction_url,manufacturer_unique_id,michelin_certified_centre,phone_number,pincode,state,store_name,website
https://www.tyres-n-services.in/dealers/mumbai/michelin-tyres-services-sign-tyres-sion-west/appointment?fitter=5d121d820dae941561e039fd&utm_source=michelin&utm_medium=dealerlocator&utm_campaign=bookappointment,MICHELIN,"https://www.michelin.in/auto/dealers/sign-tyres?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"264, Panchshil,Shop No. 1 & 2,OPP SION HOSPITAL & ST BUS STANDSION (WEST) , MUMBAI,400022 MUMBAI","https://www.google.com/maps?daddr=19.076,72.878",132115069,1, 9711999394,,,SIGN TYRES,https://www.tyres-n-services.in/dealers/mumbai/michelin-tyres-services-sign-tyres-sion-west
,MICHELIN,"https://www.michelin.in/auto/dealers/popular-tyres6?search=Mumbai,%20Maharashtra,%20India",Mumbai,,OPP MUNICIPAL PUMPING STATION NEAR RAVI AUTOMOBILES GM ROAD CHEMBUR MUMBAI CITY400089 MUMBAI,"https://www.google.com/maps?daddr=19.071156,72.90162",424695069,1, 9867900801,,,POPULAR TYRES,
,MICHELIN,"https://www.michelin.in/auto/dealers/auto-nova-trading-pvt-ltd?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"GROUND FLOOR, PLOT NO 5B, SINDHI SOCIETY, S.T ROAD MUMBAI SUBURBAN400071 MUMBAI","https://www.google.com/maps?daddr=19.05431,72.89066",616041069,1, 9920384560,,,AUTO NOVA TRADING PVT LTD,
,MICHELIN,"https://www.michelin.in/auto/dealers/k-k-tyres?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"SHOP NO 2, 611/3 CHEMBUR NAKA SION400071 MUMBAI","https://www.google.com/maps?daddr=19.052113,72.900665",327748069,1,,,,K & K TYRES,
,MICHELIN,"https://www.michelin.in/auto/dealers/shri-balaji-tyres?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"PLOT NO. 301, 5TH ROAD, NEAR RBI COLONY, DIAMOND GARDEN, CHEMBUR, MUMBAI, MAHARASHTRA400071 MUMBAI","https://www.google.com/maps?daddr=19.052786,72.902176",399018069,1, 9223266393,,,BALAJI TYRES,
https://www.tyres-n-services.in/dealers/mumbai/michelin-tyres-services-saifee-tyre-service-santacruz-central/appointment?fitter=5d121ab40dae941561e0346f&utm_source=michelin&utm_medium=dealerlocator&utm_campaign=bookappointment,MICHELIN,"https://www.michelin.in/auto/dealers/saifee-tyre-service2?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"Jolly Apartments Opp. Gokul Ice Cream, Sarswati Road Santacruz (W)400054 Mumbai","https://www.google.com/maps?daddr=19.08175,72.83561",131556069,1, 9999873922,,,Saifee Tyre Service,https://www.tyres-n-services.in/dealers/mumbai/michelin-tyres-services-saifee-tyre-service-santacruz-central
,MICHELIN,"https://www.michelin.in/auto/dealers/r-v-tyre-service?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"GROUND-B3, ANAMAYA CHS400099 MUMBAI","https://www.google.com/maps?daddr=19.116175,72.86989",437099069,1, 9820746911,,,R V TYRE SERVICE,
,MICHELIN,"https://www.michelin.in/auto/dealers/pal-tyres32?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"SHOP NO 8, GROUND FLOOR, SUJATA SANTACRUZ RAJPIPLA CHS LTD, 27 C JUHU ROAD SANTACRUZ WEST MUMBAI, MUMBAI SUBURBAN400054 MUMBAI","https://www.google.com/maps?daddr=19.084656,72.83521",756115069,0, 9820061753,,,PAL TYRES,
,MICHELIN,"https://www.michelin.in/auto/dealers/r-v-tyre-service0?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"Gala no B-1A,400059 MUMBAI","https://www.google.com/maps?daddr=19.119085,72.8868",622204069,1, 9820746911,,,R V TYRE SERVICE,
https://www.tyres-n-services.in/dealers/mumbai/michelin-tyres-services-premji-sales-co-pvt-ltd-mahim-west/appointment?fitter=5f1ec4ac65fc7334a8b80aaf&utm_source=michelin&utm_medium=dealerlocator&utm_campaign=bookappointment,MICHELIN,"https://www.michelin.in/auto/dealers/premji-sales-co-pvt-ltd?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"109/C, L.J. ROAD,OPP. SITLADEVI TEMPLE,MAHIM,MUMBAI400016 MUMBAI","https://www.google.com/maps?daddr=19.036,72.839",132118069,1, 7303886259,,,PREMJI SALES CO. PVT. LTD.,https://www.tyres-n-services.in/dealers/mumbai/michelin-tyres-services-premji-sales-co-pvt-ltd-mahim-west
,MICHELIN,"https://www.michelin.in/auto/dealers/wheels-india5?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"VISHAL APTS., SHOP NO.4, GROUND FLOOR, JANKI KUTIR, NEXT TO PRITHVI THEATRE, JUHU, MUMBAI MAHARASHTRA400049 MUMBAI","https://www.google.com/maps?daddr=19.106007,72.82639",723131069,1, 9820000416,,,WHEELS  INDIA,
,MICHELIN,"https://www.michelin.in/auto/dealers/kamal-automobiles88?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"SURVENY NO 138/2, C/O SRI AMBAJI PETROLEUM, MUMBAI AHMEDABAD ROAD NH. NO -8, VILLAGE JUCHANDRA THANE VASAI410218 THANE","https://www.google.com/maps?daddr=19.017365,72.85849",723073069,1, 9323421157,,,Kamal Automobiles,
,MICHELIN,"https://www.michelin.in/auto/dealers/tejani-tyre-service-pc7?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"SHOP NO -6., EVERSUN CHS LTD, (DHL JUNCTION), JP ROAD, NEAR APNA BAZAAR, ANDHERI (WEST), MUMBAI, MAHARASHTRA400058 MUMBAI","https://www.google.com/maps?daddr=19.127962,72.83178",723130069,1, 9820185926,,,TEJANI TYRE SERVICE- PC,
,MICHELIN,"https://www.michelin.in/auto/dealers/ashirwad-tyre-service?search=Mumbai,%20Maharashtra,%20India",Mumbai,,"LALJI DEOJI CHAWL, SHOP NO. 9,GOKUL DAS PASTA ROAD,DADAR (EAST),MUMBAI,400014 MUMBAI","https://www.google.com/maps?daddr=19.014,72.843",131554069,1, 24119632,,,ASHIRWAD TYRE SERVICE,
