brand,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name
PIRELLI,Mumbai,,"Shop 4 & 7, Sahajanand Society, TPS 6, near, Milan Subway Rd, Navpada, MSEB Colony, Santacruz West, 400054 MUMBAI",IN0000000076,,,,BOMBAY TYRE
PIRELLI,Mumbai,,"Shop Number.2, Navratna Apartment, Sion - Trombay Rd, Opposite Maitri Park, Basant Garden, Chembur, 400071 MUMBAI",IN0000000081,,,,DIAMOND TYRES - MUMBAI
PIRELLI,Mumbai,,"Shop No. 6, Jolly Apartments, Saraswati Rd, opp. Gokul Icecream, Santacruz West, 400054 MUMBAI",IN0000000075,,,,SAIFEE TYRE SERVICE
PIRELLI,Mumbai,,"Shop No.3&4,Shree Ganesh Apts,L.J.Raod,Sitladevi Temple, 400016 MUMBAI",IN0000000082,,,,KOHLI TYRES
PIRELLI,Dhule,,"WASAVA COMPOUND,MUMBAI-AGRA ROAD,AWADHAN, MIDC AVDHAN, 424006 DHULE",IN0000000264,,,,WASAVA TYRE WORKS
PIRELLI,Delhi,,"unit-3: b-7,central market ,lajpat nagar -2,, Block B, Lajpat Nagar II, Lajpat Nagar, 110024 DELHI",IN0000000142,,,,STEER INTERNATIONAL
PIRELLI,Surat,,"SHOP NO, SHIV CHANNEL OFFICE, 175, BAMROLI RD, VINAYAK NAGAR, PANDESARA, UDHNA, 394210 SURAT",IN0000000270,,,,SHREE SAI TYRES
PIRELLI,Bangalore,,"NO. 1, K H ROAD, OPP. PETROL BUNK,Langford Road Signal, shanthinagar,Bangalore, 560027 BANGALORE",IN0000000216,,,,TYREPARK - Cherry Agencies Pvt Ltd
PIRELLI,Bangalore,,"No.35/5, Langford Road, Near Double Road Circle, 560025 BANGALORE",IN0000000003,,,,MADHUS ENTERPRISES
PIRELLI,Bangalore,,"NO.31 C.C.R.BUILDING, 560027 BANGALORE",IN0000000185,,,,CAR TRENDZ
PIRELLI,Bangalore,,"No.2, Lalbagh Road, , 560027 BANGALORE",IN0000000008,,,,DARSHAN TYRES
PIRELLI,Bangalore,,"No,30, JC Road, After State Bank Of India, JC Road, Bangalore, 560002 BANGALORE",IN0000000211,,,,TYREPARK - Cherry Agencies Pvt Ltd
PIRELLI,Bangalore,,"24, BRUNTON RD, CRAIG PARK LAYOUT, ASHOK NAGAR, 560001 BENGALURU",IN0000000300,,,,EXOTIC CARS
PIRELLI,Bangalore,,"No.4, Thimmiah Road, Near Kambal Posh Dargah, Shivajinagar, 560051 BANGALORE",IN0000000017,,,,SRI LAKSHMI VENKATESHWARA TYRES
PIRELLI,Bangalore,,"No.47, Krumbigal Road, Mavalli, 560004 BANGALORE",IN0000000013,,,,MILLIVISION MARKETING PVT LTD
PIRELLI,Bangalore,,"No.100, Lalbagh Fort Road, Govardhan Building, Doddamavalli, 560004 BANGALORE",IN0000000001,,,,THIRUMALA AUTO ACCESSORIES
PIRELLI,Bangalore,,"115,Ground Floor, Lal Bagh Fort Road,Next to Nandini Hotel, Near Minerva Circle,Bangalore, 560004 BANGALORE",IN0000000210,,,,TYREPARK - Cherry Agencies Pvt Ltd
PIRELLI,Bangalore,,"#86/47, Ground Floor, 13th, Cross, 8th Main, Wilsongarden, 560027 BANGALORE",IN0000000005,,,,TRIAAD AUTOMOBILES
PIRELLI,Bangalore,,"#128, St.John's Church Road, Opp Coles Park, 560005 BANGALORE",IN0000000007,,,,TYRE CENTRE
PIRELLI,Bangalore,,"No2 2nd Block Basaveshwara Nagar, 560079 BANGALORE",IN0000000188,,,,UNIVERSAL TYRES - BANGALORE
PIRELLI,Bangalore,,"1 New MSR 80 Ft. Road, 560043 BANGALORE",IN0000000184,,,,SLNP PIT STOP
