brand,dealer_name,district,email_id,full_address,google_maps_direction_url,manufacturer_unique_id,phone_number,pincode,state,store_name,yokohama_zone
Yokohama,,Maharashtra,,"Opposite Municipal Pumping Station, G.M Road, Next To Ravi Petrol Pump, ChemburMumbai, Maharashtra - 400089",,,Phone: 09867900801 / 09920265789 / 25252080,400089,Mumbai,Popular tyres,1
Yokohama,,Maharashtra,,"Shop No. 6 Eversun Co. Soc Andheri (West) J P Road, Dhake ColoneyMumbai, Maharashtra - 400058",,,Phone: 9820046614,400058,Mumbai,Tejani Tyre Service,1
Yokohama,,Maharashtra,,"Quarry Road, Near Mangatram Petrol Pump, LBS Marg, Bhandup (W)Mumbai, Maharashtra - 400078",,,"Phone: 022-2594228,9322276290",400078,Mumbai,Sunder Tyres,1
Yokohama,,Maharashtra,,"S.Shree Gaurav, 90 Ft. Road, Opp. Campus Hotel, Mulund - EastMumbai, Maharashtra - 400081",,,Phone: 9869443611,400081,Mumbai,AUTO WHEELS,1
Yokohama,,Maharashtra,,"Shop No. 43, Arenja Corner, Sector 17, VashiNavi Mumbai, Maharashtra - 400703",,,Phone: -263.7191352,400703,Navi Mumbai,SANGHI TYRE & AUTOMOBILES,1
Yokohama,,Maharashtra,,"S-18, Building No 9, The Discovery Datta Pada Raod, Next to Tata SSL Borivali (east)Mumbai, Maharashtra - 400066",,,Phone: 9821879162,400066,Mumbai,Discovery Tyres (Mumbai),1
Yokohama,,Maharashtra,,"Shop No.2/3 Akshata Apartment, Near Municipal Corporate Building, Almeda Rd, Ganeshwadi, Thane Thane, Maharashtra - 400601",,,,400601,Thane,Mahesh Tyres,1
Yokohama,,Maharashtra,,"hop No. 4 ,5, -6, Navimumbai Sai Ganesh Apartment, Ahilya Gokul Patil Rd, Sarsole Gaon, Sector 6, NerulThane, Maharashtra - 400706",,,,400706,Thane,Balaji Wheels,1
Yokohama,,Maharashtra,,"Shop No.4/5, Sai Ganesh, Opp SBI, Sector-6, Off Palmbeach Road, Nerul(west)Navi Mumbai, Maharashtra - 400706",,,Phone: -9892359414,400706,Navi Mumbai,Balaji Wheels,1
Yokohama,,Maharashtra,,"Shop no 9 Ground floor Next to Maharashtra Garage, PG Solanki Path, Near Minerva Cinema, Grant RoadMumbai, Maharashtra - 400007",,,Phone: 8207867861,400007,Mumbai,Crown Tyre Service,1
Yokohama,,Maharashtra,Email: CROWNTYRES@HOTMAIL.COM,"255, LAMINGTON ROAD NEAR APSARA CINEMAMumbai, Maharashtra - 400007",,,Phone: 9892121809,400007,Mumbai,CROWN TYRE SERVICE,1
Yokohama,,Maharashtra,,"Vardhaman Gardens, Arya Estate, Near Big Bazaar Kapurbawdi Old Bombay Agra Road, next to Syndicate Bank, Balkum Pada, Thane WestThane, Maharashtra - 400608",,,,400608,Thane,Premji Motors Pvt Ltd,1
Yokohama,,Maharashtra,,"Near, Godown C-2, 27 Acres, Kothari Compound, Tikujiniwadi, Manpada, ThaneThane, Maharashtra - 400610",,,,400610,Thane,"Diwan Auto Care
",1
Yokohama,,Maharashtra,,"Shop B, Solitaire tower, Manpada, Ghodbunder road.thane(w)Thane, Maharashtra - 400607",,,,400607,Thane,Mahesh Tyres,1
Yokohama,,Maharashtra,Email: saibattery15@gmail.com,"SHOP NO. 08 VISHNU COMMERCIAL COMPLEX, NEAR CROMA CBD BELAPURNavi Mumbai, Maharashtra - 400614",,,"Phone: 90049 11533,9820292008",400614,Navi Mumbai,SAI BATTERY & TYRES,1
Yokohama,,Maharashtra,Email: TBAS.OFFICE@GMAIL.COM,"B-3, SAKINAKA INDUSTRIAL MARKET, AG LINK ROAD, ANDHERI EASTMumbai, Maharashtra - 400072",,,Phone: 9821777722,400072,Mumbai,TYRE BADLO AUTOMOTIVE SERVICES,0
Yokohama,,Maharashtra,,"SHOP NO-15-D-4, MUKUND NAGAR CHS, ANDHERI KURLA, ANDHERI EASTMumbai, Maharashtra - 400059",,,Phone: 9820695994,400059,Mumbai,VISHAL TYRE SERVICE,0
Yokohama,,Maharashtra,,"SN-3, OPP. SHANTI NIKETAN, NEXT TO VIJAY SALES, LBS MARGGhatkopar, Maharashtra - 400086",,,Phone: 8828306655,400086,Ghatkopar,ADITI SALES CORPORATION,0
Yokohama,,Maharashtra,Email: s.nagesh@yokohama-india.com,"SAMTA SOCIETY, NAGA BABA NAGAR, DR. BABA SAHEB AMBEDKAR SOCIETY, VIKHROLI WESTVikhroli, Maharashtra - 400072",,,Phone: 7738841549,400072,Vikhroli,S.J. ENTERPRISES,0
Yokohama,,Maharashtra,Email: TYRETECHSERVICES@GMAIL.COM,"SHOP NO-11, SAKI VIHAR, POWAI, MUMBAI CITYMumbai, Maharashtra - 400072",,,Phone: 8828838833,400072,Mumbai,TYRETECH AND SERVICES,0
Yokohama,,Maharashtra,,"JITENDER INDUSTRIAL ESTATE ANDHERI KURLA ROAD ANDHERI EASTMumbai, Maharashtra - 400059",,,,400059,Mumbai,TOYOTA LAKOZY AUTO PVT LTD,0
Yokohama,,Maharashtra,,"Opp. Municipal Pumping Station, G.M.RoadChembur, Maharashtra - 400089",,,"Phone: 98,679,008,019,920,200,000",400089,Chembur,Popular Tyres,0
